13:29:48 509	 start loadBaseParameter 
15:23:25 441	 5 ImageProcess result=
15:23:25 445	7 finish getImage
15:23:25 625	 1:start getImage
15:23:25 626	 2 getImage times:0
15:23:25 627	3  GrabFrame times:0,result=
15:23:25 634	 5 ImageProcess result=
15:23:25 637	7 finish getImage
15:23:25 639	 1:start getImage
15:23:25 639	 2 getImage times:0
15:23:25 664	3  GrabFrame times:0,result=
15:23:25 669	 5 ImageProcess result=
15:23:25 673	7 finish getImage
15:23:25 846	 1:start getImage
15:23:25 847	 2 getImage times:0
15:23:25 848	3  GrabFrame times:0,result=
15:23:25 855	 5 ImageProcess result=
15:23:25 859	7 finish getImage
15:23:25 861	 1:start getImage
15:23:25 861	 2 getImage times:0
15:23:25 864	3  GrabFrame times:0,result=
15:23:25 869	 5 ImageProcess result=
15:23:25 873	7 finish getImage
15:23:26 046	 1:start getImage
15:23:26 047	 2 getImage times:0
15:23:26 048	3  GrabFrame times:0,result=
15:23:26 056	 5 ImageProcess result=
15:23:26 059	7 finish getImage
15:23:26 061	 1:start getImage
15:23:26 061	 2 getImage times:0
15:23:26 064	3  GrabFrame times:0,result=
15:23:26 070	 5 ImageProcess result=
15:23:26 073	7 finish getImage
15:23:26 245	 1:start getImage
15:23:26 246	 2 getImage times:0
15:23:26 247	3  GrabFrame times:0,result=
15:23:26 254	 5 ImageProcess result=
15:23:26 257	7 finish getImage
15:23:26 260	 1:start getImage
15:23:26 260	 2 getImage times:0
15:23:26 263	3  GrabFrame times:0,result=
15:23:26 268	 5 ImageProcess result=
15:23:26 272	7 finish getImage
15:23:26 447	 1:start getImage
15:23:26 447	 2 getImage times:0
15:23:26 449	3  GrabFrame times:0,result=
15:23:26 456	 5 ImageProcess result=
15:23:26 460	7 finish getImage
15:23:26 461	 1:start getImage
15:23:26 462	 2 getImage times:0
15:23:26 464	3  GrabFrame times:0,result=
15:23:26 469	 5 ImageProcess result=
15:23:26 473	7 finish getImage
15:23:26 646	 1:start getImage
15:23:26 647	 2 getImage times:0
15:23:26 648	3  GrabFrame times:0,result=
15:23:26 656	 5 ImageProcess result=
15:23:26 659	7 finish getImage
15:23:26 661	 1:start getImage
15:23:26 662	 2 getImage times:0
15:23:26 664	3  GrabFrame times:0,result=
15:23:26 669	 5 ImageProcess result=
15:23:26 672	7 finish getImage
15:23:26 846	 1:start getImage
15:23:26 847	 2 getImage times:0
15:23:26 848	3  GrabFrame times:0,result=
15:23:26 856	 5 ImageProcess result=
15:23:26 859	7 finish getImage
15:23:26 861	 1:start getImage
15:23:26 861	 2 getImage times:0
15:23:26 864	3  GrabFrame times:0,result=
15:23:26 869	 5 ImageProcess result=
15:23:26 872	7 finish getImage
15:23:27 045	 1:start getImage
15:23:27 046	 2 getImage times:0
15:23:27 047	3  GrabFrame times:0,result=
15:23:27 055	 5 ImageProcess result=
15:23:27 058	7 finish getImage
15:23:27 061	 1:start getImage
15:23:27 061	 2 getImage times:0
15:23:27 064	3  GrabFrame times:0,result=
15:23:27 069	 5 ImageProcess result=
15:23:27 072	7 finish getImage
15:23:27 245	 1:start getImage
15:23:27 246	 2 getImage times:0
15:23:27 247	3  GrabFrame times:0,result=
15:23:27 254	 5 ImageProcess result=
15:23:27 257	7 finish getImage
15:23:27 259	 1:start getImage
15:23:27 259	 2 getImage times:0
15:23:27 264	3  GrabFrame times:0,result=
15:23:27 269	 5 ImageProcess result=
15:23:27 273	7 finish getImage
15:23:27 446	 1:start getImage
15:23:27 447	 2 getImage times:0
15:23:27 448	3  GrabFrame times:0,result=
15:23:27 455	 5 ImageProcess result=
15:23:27 458	7 finish getImage
15:23:27 460	 1:start getImage
15:23:27 461	 2 getImage times:0
15:23:27 464	3  GrabFrame times:0,result=
15:23:27 469	 5 ImageProcess result=
15:23:27 473	7 finish getImage
15:23:27 646	 1:start getImage
15:23:27 647	 2 getImage times:0
15:23:27 648	3  GrabFrame times:0,result=
15:23:27 655	 5 ImageProcess result=
15:23:27 658	7 finish getImage
15:23:27 660	 1:start getImage
15:23:27 661	 2 getImage times:0
15:23:27 664	3  GrabFrame times:0,result=
15:23:27 669	 5 ImageProcess result=
15:23:27 673	7 finish getImage
15:23:27 845	 1:start getImage
15:23:27 846	 2 getImage times:0
15:23:27 847	3  GrabFrame times:0,result=
15:23:27 853	 5 ImageProcess result=
15:23:27 857	7 finish getImage
15:23:27 859	 1:start getImage
15:23:27 859	 2 getImage times:0
15:23:27 864	3  GrabFrame times:0,result=
15:23:27 869	 5 ImageProcess result=
15:23:27 873	7 finish getImage
15:23:28 044	 1:start getImage
15:23:28 045	 2 getImage times:0
15:23:28 046	3  GrabFrame times:0,result=
15:23:28 052	 5 ImageProcess result=
15:23:28 056	7 finish getImage
15:23:28 057	 1:start getImage
15:23:28 058	 2 getImage times:0
15:23:28 063	3  GrabFrame times:0,result=
15:23:28 069	 5 ImageProcess result=
15:23:28 072	7 finish getImage
15:23:28 245	 1:start getImage
15:23:28 246	 2 getImage times:0
15:23:28 247	3  GrabFrame times:0,result=
15:23:28 253	 5 ImageProcess result=
15:23:28 257	7 finish getImage
15:23:28 259	 1:start getImage
15:23:28 259	 2 getImage times:0
15:23:28 264	3  GrabFrame times:0,result=
15:23:28 269	 5 ImageProcess result=
15:23:28 273	7 finish getImage
15:23:28 446	 1:start getImage
15:23:28 446	 2 getImage times:0
15:23:28 448	3  GrabFrame times:0,result=
15:23:28 454	 5 ImageProcess result=
15:23:28 458	7 finish getImage
15:23:28 459	 1:start getImage
15:23:28 460	 2 getImage times:0
15:23:28 464	3  GrabFrame times:0,result=
15:23:28 469	 5 ImageProcess result=
15:23:28 473	7 finish getImage
15:23:28 645	 1:start getImage
15:23:28 646	 2 getImage times:0
15:23:28 647	3  GrabFrame times:0,result=
15:23:28 653	 5 ImageProcess result=
15:23:28 656	7 finish getImage
15:23:28 659	 1:start getImage
15:23:28 659	 2 getImage times:0
15:23:28 664	3  GrabFrame times:0,result=
15:23:28 669	 5 ImageProcess result=
15:23:28 673	7 finish getImage
15:23:28 845	 1:start getImage
15:23:28 846	 2 getImage times:0
15:23:28 847	3  GrabFrame times:0,result=
15:23:28 854	 5 ImageProcess result=
15:23:28 858	7 finish getImage
15:23:28 859	 1:start getImage
15:23:28 860	 2 getImage times:0
15:23:28 864	3  GrabFrame times:0,result=
15:23:28 869	 5 ImageProcess result=
15:23:28 873	7 finish getImage
15:23:29 044	 1:start getImage
15:23:29 045	 2 getImage times:0
15:23:29 046	3  GrabFrame times:0,result=
15:23:29 053	 5 ImageProcess result=
15:23:29 057	7 finish getImage
15:23:29 059	 1:start getImage
15:23:29 059	 2 getImage times:0
15:23:29 064	3  GrabFrame times:0,result=
15:23:29 069	 5 ImageProcess result=
15:23:29 072	7 finish getImage
15:23:29 247	 1:start getImage
15:23:29 247	 2 getImage times:0
15:23:29 248	3  GrabFrame times:0,result=
15:23:29 256	 5 ImageProcess result=
15:23:29 260	7 finish getImage
15:23:29 261	 1:start getImage
15:23:29 262	 2 getImage times:0
15:23:29 264	3  GrabFrame times:0,result=
15:23:29 269	 5 ImageProcess result=
15:23:29 273	7 finish getImage
15:23:29 445	 1:start getImage
15:23:29 446	 2 getImage times:0
15:23:29 447	3  GrabFrame times:0,result=
15:23:29 454	 5 ImageProcess result=
15:23:29 458	7 finish getImage
15:23:29 460	 1:start getImage
15:23:29 461	 2 getImage times:0
15:23:29 464	3  GrabFrame times:0,result=
15:23:29 470	 5 ImageProcess result=
15:23:29 474	7 finish getImage
15:23:29 648	 1:start getImage
15:23:29 649	 2 getImage times:0
15:23:29 650	3  GrabFrame times:0,result=
15:23:29 656	 5 ImageProcess result=
15:23:29 660	7 finish getImage
15:23:29 662	 1:start getImage
15:23:29 662	 2 getImage times:0
15:23:29 664	3  GrabFrame times:0,result=
15:23:29 669	 5 ImageProcess result=
15:23:29 673	7 finish getImage
15:23:29 845	 1:start getImage
15:23:29 846	 2 getImage times:0
15:23:29 847	3  GrabFrame times:0,result=
15:23:29 854	 5 ImageProcess result=
15:23:29 858	7 finish getImage
15:23:29 860	 1:start getImage
15:23:29 861	 2 getImage times:0
15:23:29 863	3  GrabFrame times:0,result=
15:23:29 869	 5 ImageProcess result=
15:23:29 872	7 finish getImage
15:23:30 044	 1:start getImage
15:23:30 045	 2 getImage times:0
15:23:30 046	3  GrabFrame times:0,result=
15:23:30 053	 5 ImageProcess result=
15:23:30 056	7 finish getImage
15:23:30 058	 1:start getImage
15:23:30 059	 2 getImage times:0
15:23:30 064	3  GrabFrame times:0,result=
15:23:30 069	 5 ImageProcess result=
15:23:30 072	7 finish getImage
15:23:30 247	 1:start getImage
15:23:30 248	 2 getImage times:0
15:23:30 249	3  GrabFrame times:0,result=
15:23:30 255	 5 ImageProcess result=
15:23:30 259	7 finish getImage
15:23:30 261	 1:start getImage
15:23:30 262	 2 getImage times:0
15:23:30 264	3  GrabFrame times:0,result=
15:23:30 269	 5 ImageProcess result=
15:23:30 273	7 finish getImage
15:23:30 447	 1:start getImage
15:23:30 448	 2 getImage times:0
15:23:30 449	3  GrabFrame times:0,result=
15:23:30 457	 5 ImageProcess result=
15:23:30 460	7 finish getImage
15:23:30 462	 1:start getImage
15:23:30 463	 2 getImage times:0
15:23:30 464	3  GrabFrame times:0,result=
15:23:30 469	 5 ImageProcess result=
15:23:30 473	7 finish getImage
15:23:30 645	 1:start getImage
15:23:30 646	 2 getImage times:0
15:23:30 647	3  GrabFrame times:0,result=
15:23:30 653	 5 ImageProcess result=
15:23:30 657	7 finish getImage
15:23:30 659	 1:start getImage
15:23:30 660	 2 getImage times:0
15:23:30 664	3  GrabFrame times:0,result=
15:23:30 670	 5 ImageProcess result=
15:23:30 673	7 finish getImage
15:23:30 847	 1:start getImage
15:23:30 847	 2 getImage times:0
15:23:30 849	3  GrabFrame times:0,result=
15:23:30 856	 5 ImageProcess result=
15:23:30 860	7 finish getImage
15:23:30 861	 1:start getImage
15:23:30 862	 2 getImage times:0
15:23:30 864	3  GrabFrame times:0,result=
15:23:30 869	 5 ImageProcess result=
15:23:30 873	7 finish getImage
15:23:31 047	 1:start getImage
15:23:31 048	 2 getImage times:0
15:23:31 049	3  GrabFrame times:0,result=
15:23:31 055	 5 ImageProcess result=
15:23:31 059	7 finish getImage
15:23:31 062	 1:start getImage
15:23:31 062	 2 getImage times:0
15:23:31 064	3  GrabFrame times:0,result=
15:23:31 069	 5 ImageProcess result=
15:23:31 073	7 finish getImage
15:23:31 246	 1:start getImage
15:23:31 247	 2 getImage times:0
15:23:31 248	3  GrabFrame times:0,result=
15:23:31 255	 5 ImageProcess result=
15:23:31 259	7 finish getImage
15:23:31 260	 1:start getImage
15:23:31 261	 2 getImage times:0
15:23:31 264	3  GrabFrame times:0,result=
15:23:31 269	 5 ImageProcess result=
15:23:31 273	7 finish getImage
15:23:31 446	 1:start getImage
15:23:31 447	 2 getImage times:0
15:23:31 448	3  GrabFrame times:0,result=
15:23:31 455	 5 ImageProcess result=
15:23:31 460	7 finish getImage
15:23:31 463	 1:start getImage
15:23:31 464	 2 getImage times:0
15:23:31 465	3  GrabFrame times:0,result=
15:23:31 471	 5 ImageProcess result=
15:23:31 475	7 finish getImage
15:23:31 651	 1:start getImage
15:23:31 651	 2 getImage times:0
15:23:31 653	3  GrabFrame times:0,result=
15:23:31 659	 5 ImageProcess result=
15:23:31 662	7 finish getImage
15:23:31 664	 1:start getImage
15:23:31 665	 2 getImage times:0
15:23:31 666	3  GrabFrame times:0,result=
15:23:31 672	 5 ImageProcess result=
15:23:31 676	7 finish getImage
15:23:31 853	 1:start getImage
15:23:31 854	 2 getImage times:0
15:23:31 855	3  GrabFrame times:0,result=
15:23:31 860	 5 ImageProcess result=
15:23:31 863	7 finish getImage
15:23:31 865	 1:start getImage
15:23:31 865	 2 getImage times:0
15:23:31 867	3  GrabFrame times:0,result=
15:23:31 872	 5 ImageProcess result=
15:23:31 876	7 finish getImage
15:23:32 051	 1:start getImage
15:23:32 052	 2 getImage times:0
15:23:32 053	3  GrabFrame times:0,result=
15:23:32 060	 5 ImageProcess result=
15:23:32 064	7 finish getImage
15:23:32 066	 1:start getImage
15:23:32 067	 2 getImage times:0
15:23:32 068	3  GrabFrame times:0,result=
15:23:32 073	 5 ImageProcess result=
15:23:32 077	7 finish getImage
15:23:32 250	 1:start getImage
15:23:32 251	 2 getImage times:0
15:23:32 252	3  GrabFrame times:0,result=
15:23:32 259	 5 ImageProcess result=
15:23:32 263	7 finish getImage
15:23:32 264	 1:start getImage
15:23:32 265	 2 getImage times:0
15:23:32 266	3  GrabFrame times:0,result=
15:23:32 272	 5 ImageProcess result=
15:23:32 275	7 finish getImage
15:23:32 448	 1:start getImage
15:23:32 449	 2 getImage times:0
15:23:32 450	3  GrabFrame times:0,result=
15:23:32 456	 5 ImageProcess result=
15:23:32 460	7 finish getImage
15:23:32 462	 1:start getImage
15:23:32 462	 2 getImage times:0
15:23:32 464	3  GrabFrame times:0,result=
15:23:32 470	 5 ImageProcess result=
15:23:32 473	7 finish getImage
15:23:32 646	 1:start getImage
15:23:32 647	 2 getImage times:0
15:23:32 648	3  GrabFrame times:0,result=
15:23:32 656	 5 ImageProcess result=
15:23:32 659	7 finish getImage
15:23:32 661	 1:start getImage
15:23:32 661	 2 getImage times:0
15:23:32 664	3  GrabFrame times:0,result=
15:23:32 670	 5 ImageProcess result=
15:23:32 673	7 finish getImage
15:23:32 845	 1:start getImage
15:23:32 846	 2 getImage times:0
15:23:32 847	3  GrabFrame times:0,result=
15:23:32 854	 5 ImageProcess result=
15:23:32 857	7 finish getImage
15:23:32 859	 1:start getImage
15:23:32 860	 2 getImage times:0
15:23:32 864	3  GrabFrame times:0,result=
15:23:32 870	 5 ImageProcess result=
15:23:32 873	7 finish getImage
15:23:33 046	 1:start getImage
15:23:33 047	 2 getImage times:0
15:23:33 048	3  GrabFrame times:0,result=
15:23:33 055	 5 ImageProcess result=
15:23:33 059	7 finish getImage
15:23:33 060	 1:start getImage
15:23:33 061	 2 getImage times:0
15:23:33 064	3  GrabFrame times:0,result=
15:23:33 070	 5 ImageProcess result=
15:23:33 073	7 finish getImage
15:23:33 245	 1:start getImage
15:23:33 246	 2 getImage times:0
15:23:33 247	3  GrabFrame times:0,result=
15:23:33 254	 5 ImageProcess result=
15:23:33 258	7 finish getImage
15:23:33 260	 1:start getImage
15:23:33 260	 2 getImage times:0
15:23:33 263	3  GrabFrame times:0,result=
15:23:33 268	 5 ImageProcess result=
15:23:33 272	7 finish getImage
15:23:33 445	 1:start getImage
15:23:33 446	 2 getImage times:0
15:23:33 447	3  GrabFrame times:0,result=
15:23:33 454	 5 ImageProcess result=
15:23:33 458	7 finish getImage
15:23:33 460	 1:start getImage
15:23:33 460	 2 getImage times:0
15:23:33 464	3  GrabFrame times:0,result=
15:23:33 469	 5 ImageProcess result=
15:23:33 473	7 finish getImage
15:23:33 646	 1:start getImage
15:23:33 647	 2 getImage times:0
15:23:33 648	3  GrabFrame times:0,result=
15:23:33 655	 5 ImageProcess result=
15:23:33 659	7 finish getImage
15:23:33 661	 1:start getImage
15:23:33 661	 2 getImage times:0
15:23:33 664	3  GrabFrame times:0,result=
15:23:33 669	 5 ImageProcess result=
15:23:33 672	7 finish getImage
15:23:33 845	 1:start getImage
15:23:33 846	 2 getImage times:0
15:23:33 847	3  GrabFrame times:0,result=
15:23:33 855	 5 ImageProcess result=
15:23:33 859	7 finish getImage
15:23:33 860	 1:start getImage
15:23:33 861	 2 getImage times:0
15:23:33 864	3  GrabFrame times:0,result=
15:23:33 869	 5 ImageProcess result=
15:23:33 873	7 finish getImage
15:23:34 046	 1:start getImage
15:23:34 047	 2 getImage times:0
15:23:34 048	3  GrabFrame times:0,result=
15:23:34 055	 5 ImageProcess result=
15:23:34 059	7 finish getImage
15:23:34 062	 1:start getImage
15:23:34 063	 2 getImage times:0
15:23:34 064	3  GrabFrame times:0,result=
15:23:34 069	 5 ImageProcess result=
15:23:34 073	7 finish getImage
15:23:34 248	 1:start getImage
15:23:34 249	 2 getImage times:0
15:23:34 250	3  GrabFrame times:0,result=
15:23:34 257	 5 ImageProcess result=
15:23:34 260	7 finish getImage
15:23:34 262	 1:start getImage
15:23:34 263	 2 getImage times:0
15:23:34 264	3  GrabFrame times:0,result=
15:23:34 269	 5 ImageProcess result=
15:23:34 273	7 finish getImage
15:23:34 447	 1:start getImage
15:23:34 448	 2 getImage times:0
15:23:34 449	3  GrabFrame times:0,result=
15:23:34 455	 5 ImageProcess result=
15:23:34 459	7 finish getImage
15:23:34 461	 1:start getImage
15:23:34 462	 2 getImage times:0
15:23:34 464	3  GrabFrame times:0,result=
15:23:34 469	 5 ImageProcess result=
15:23:34 473	7 finish getImage
15:23:34 645	 1:start getImage
15:23:34 646	 2 getImage times:0
15:23:34 647	3  GrabFrame times:0,result=
15:23:34 654	 5 ImageProcess result=
15:23:34 657	7 finish getImage
15:23:34 659	 1:start getImage
15:23:34 659	 2 getImage times:0
15:23:34 664	3  GrabFrame times:0,result=
15:23:34 669	 5 ImageProcess result=
15:23:34 673	7 finish getImage
15:23:34 845	 1:start getImage
15:23:34 846	 2 getImage times:0
15:23:34 847	3  GrabFrame times:0,result=
15:23:34 853	 5 ImageProcess result=
15:23:34 857	7 finish getImage
15:23:34 859	 1:start getImage
15:23:34 860	 2 getImage times:0
15:23:34 864	3  GrabFrame times:0,result=
15:23:34 870	 5 ImageProcess result=
15:23:34 873	7 finish getImage
15:23:35 048	 1:start getImage
15:23:35 049	 2 getImage times:0
15:23:35 051	3  GrabFrame times:0,result=
15:23:35 058	 5 ImageProcess result=
15:23:35 061	7 finish getImage
15:23:35 063	 1:start getImage
15:23:35 063	 2 getImage times:0
15:23:35 064	3  GrabFrame times:0,result=
15:23:35 069	 5 ImageProcess result=
15:23:35 073	7 finish getImage
15:23:35 246	 1:start getImage
15:23:35 247	 2 getImage times:0
15:23:35 248	3  GrabFrame times:0,result=
15:23:35 255	 5 ImageProcess result=
15:23:35 258	7 finish getImage
15:23:35 260	 1:start getImage
15:23:35 261	 2 getImage times:0
15:23:35 264	3  GrabFrame times:0,result=
15:23:35 269	 5 ImageProcess result=
15:23:35 272	7 finish getImage
15:23:35 446	 1:start getImage
15:23:35 446	 2 getImage times:0
15:23:35 448	3  GrabFrame times:0,result=
15:23:35 455	 5 ImageProcess result=
15:23:35 459	7 finish getImage
15:23:35 460	 1:start getImage
15:23:35 461	 2 getImage times:0
15:23:35 464	3  GrabFrame times:0,result=
15:23:35 469	 5 ImageProcess result=
15:23:35 473	7 finish getImage
15:23:35 646	 1:start getImage
15:23:35 647	 2 getImage times:0
15:23:35 648	3  GrabFrame times:0,result=
15:23:35 653	 5 ImageProcess result=
15:23:35 657	7 finish getImage
15:23:35 658	 1:start getImage
15:23:35 659	 2 getImage times:0
15:23:35 664	3  GrabFrame times:0,result=
15:23:35 669	 5 ImageProcess result=
15:23:35 672	7 finish getImage
15:23:35 849	 1:start getImage
15:23:35 850	 2 getImage times:0
15:23:35 851	3  GrabFrame times:0,result=
15:23:35 856	 5 ImageProcess result=
15:23:35 859	7 finish getImage
15:23:35 861	 1:start getImage
15:23:35 861	 2 getImage times:0
15:23:35 864	3  GrabFrame times:0,result=
15:23:35 869	 5 ImageProcess result=
15:23:35 872	7 finish getImage
15:23:36 047	 1:start getImage
15:23:36 048	 2 getImage times:0
15:23:36 049	3  GrabFrame times:0,result=
15:23:36 055	 5 ImageProcess result=
15:23:36 059	7 finish getImage
15:23:36 062	 1:start getImage
15:23:36 062	 2 getImage times:0
15:23:36 064	3  GrabFrame times:0,result=
15:23:36 069	 5 ImageProcess result=
15:23:36 073	7 finish getImage
15:23:36 246	 1:start getImage
15:23:36 247	 2 getImage times:0
15:23:36 248	3  GrabFrame times:0,result=
15:23:36 255	 5 ImageProcess result=
15:23:36 259	7 finish getImage
15:23:36 261	 1:start getImage
15:23:36 261	 2 getImage times:0
15:23:36 264	3  GrabFrame times:0,result=
15:23:36 269	 5 ImageProcess result=
15:23:36 274	7 finish getImage
15:23:36 465	 1:start getImage
15:23:36 466	 2 getImage times:0
15:23:36 467	3  GrabFrame times:0,result=
15:23:36 474	 5 ImageProcess result=
15:23:36 478	7 finish getImage
15:23:36 480	 1:start getImage
15:23:36 481	 2 getImage times:0
15:23:36 504	3  GrabFrame times:0,result=
15:23:36 510	 5 ImageProcess result=
15:23:36 513	7 finish getImage
15:23:36 686	 1:start getImage
15:23:36 687	 2 getImage times:0
15:23:36 688	3  GrabFrame times:0,result=
15:23:36 695	 5 ImageProcess result=
15:23:36 698	7 finish getImage
15:23:36 699	 1:start getImage
15:23:36 699	 2 getImage times:0
15:23:36 704	3  GrabFrame times:0,result=
15:23:36 709	 5 ImageProcess result=
15:23:36 712	7 finish getImage
15:23:36 884	 1:start getImage
15:23:36 885	 2 getImage times:0
15:23:36 886	3  GrabFrame times:0,result=
15:23:36 893	 5 ImageProcess result=
15:23:36 897	7 finish getImage
15:23:36 899	 1:start getImage
15:23:36 900	 2 getImage times:0
15:23:36 904	3  GrabFrame times:0,result=
15:23:36 909	 5 ImageProcess result=
15:23:36 913	7 finish getImage
15:23:37 085	 1:start getImage
15:23:37 086	 2 getImage times:0
15:23:37 087	3  GrabFrame times:0,result=
15:23:37 094	 5 ImageProcess result=
15:23:37 098	7 finish getImage
15:23:37 100	 1:start getImage
15:23:37 100	 2 getImage times:0
15:23:37 104	3  GrabFrame times:0,result=
15:23:37 109	 5 ImageProcess result=
15:23:37 113	7 finish getImage
15:23:37 285	 1:start getImage
15:23:37 286	 2 getImage times:0
15:23:37 287	3  GrabFrame times:0,result=
15:23:37 294	 5 ImageProcess result=
15:23:37 297	7 finish getImage
15:23:37 300	 1:start getImage
15:23:37 300	 2 getImage times:0
15:23:37 304	3  GrabFrame times:0,result=
15:23:37 309	 5 ImageProcess result=
15:23:37 313	7 finish getImage
15:23:37 486	 1:start getImage
15:23:37 487	 2 getImage times:0
15:23:37 488	3  GrabFrame times:0,result=
15:23:37 495	 5 ImageProcess result=
15:23:37 499	7 finish getImage
15:23:37 501	 1:start getImage
15:23:37 502	 2 getImage times:0
15:23:37 504	3  GrabFrame times:0,result=
15:23:37 509	 5 ImageProcess result=
15:23:37 513	7 finish getImage
15:23:37 686	 1:start getImage
15:23:37 687	 2 getImage times:0
15:23:37 688	3  GrabFrame times:0,result=
15:23:37 695	 5 ImageProcess result=
15:23:37 698	7 finish getImage
15:23:37 701	 1:start getImage
15:23:37 701	 2 getImage times:0
15:23:37 704	3  GrabFrame times:0,result=
15:23:37 709	 5 ImageProcess result=
15:23:37 712	7 finish getImage
15:23:37 885	 1:start getImage
15:23:37 886	 2 getImage times:0
15:23:37 887	3  GrabFrame times:0,result=
15:23:37 894	 5 ImageProcess result=
15:23:37 898	7 finish getImage
15:23:37 899	 1:start getImage
15:23:37 900	 2 getImage times:0
15:23:37 904	3  GrabFrame times:0,result=
15:23:37 909	 5 ImageProcess result=
15:23:37 913	7 finish getImage
15:23:38 085	 1:start getImage
15:23:38 086	 2 getImage times:0
15:23:38 087	3  GrabFrame times:0,result=
15:23:38 094	 5 ImageProcess result=
15:23:38 098	7 finish getImage
15:23:38 100	 1:start getImage
15:23:38 101	 2 getImage times:0
15:23:38 104	3  GrabFrame times:0,result=
15:23:38 110	 5 ImageProcess result=
15:23:38 113	7 finish getImage
15:23:38 288	 1:start getImage
15:23:38 289	 2 getImage times:0
15:23:38 290	3  GrabFrame times:0,result=
15:23:38 298	 5 ImageProcess result=
15:23:38 301	7 finish getImage
15:23:38 303	 1:start getImage
15:23:38 303	 2 getImage times:0
15:23:38 304	3  GrabFrame times:0,result=
15:23:38 310	 5 ImageProcess result=
15:23:38 313	7 finish getImage
15:23:38 485	 1:start getImage
15:23:38 486	 2 getImage times:0
15:23:38 487	3  GrabFrame times:0,result=
15:23:38 495	 5 ImageProcess result=
15:23:38 499	7 finish getImage
15:23:38 501	 1:start getImage
15:23:38 502	 2 getImage times:0
15:23:38 503	3  GrabFrame times:0,result=
15:23:38 508	 5 ImageProcess result=
15:23:38 512	7 finish getImage
15:23:38 685	 1:start getImage
15:23:38 686	 2 getImage times:0
15:23:38 687	3  GrabFrame times:0,result=
15:23:38 695	 5 ImageProcess result=
15:23:38 698	7 finish getImage
15:23:38 700	 1:start getImage
15:23:38 700	 2 getImage times:0
15:23:38 704	3  GrabFrame times:0,result=
15:23:38 709	 5 ImageProcess result=
15:23:38 712	7 finish getImage
15:23:38 885	 1:start getImage
15:23:38 886	 2 getImage times:0
15:23:38 887	3  GrabFrame times:0,result=
15:23:38 893	 5 ImageProcess result=
15:23:38 897	7 finish getImage
15:23:38 899	 1:start getImage
15:23:38 900	 2 getImage times:0
15:23:38 904	3  GrabFrame times:0,result=
15:23:38 909	 5 ImageProcess result=
15:23:38 912	7 finish getImage
15:23:39 085	 1:start getImage
15:23:39 086	 2 getImage times:0
15:23:39 087	3  GrabFrame times:0,result=
15:23:39 094	 5 ImageProcess result=
15:23:39 098	7 finish getImage
15:23:39 099	 1:start getImage
15:23:39 100	 2 getImage times:0
15:23:39 104	3  GrabFrame times:0,result=
15:23:39 109	 5 ImageProcess result=
15:23:39 112	7 finish getImage
15:23:39 285	 1:start getImage
15:23:39 286	 2 getImage times:0
15:23:39 287	3  GrabFrame times:0,result=
15:23:39 294	 5 ImageProcess result=
15:23:39 298	7 finish getImage
15:23:39 300	 1:start getImage
15:23:39 300	 2 getImage times:0
15:23:39 304	3  GrabFrame times:0,result=
15:23:39 309	 5 ImageProcess result=
15:23:39 313	7 finish getImage
15:23:39 486	 1:start getImage
15:23:39 487	 2 getImage times:0
15:23:39 488	3  GrabFrame times:0,result=
15:23:39 496	 5 ImageProcess result=
15:23:39 499	7 finish getImage
15:23:39 500	 1:start getImage
15:23:39 501	 2 getImage times:0
15:23:39 504	3  GrabFrame times:0,result=
15:23:39 509	 5 ImageProcess result=
15:23:39 513	7 finish getImage
15:23:39 686	 1:start getImage
15:23:39 687	 2 getImage times:0
15:23:39 688	3  GrabFrame times:0,result=
15:23:39 695	 5 ImageProcess result=
15:23:39 698	7 finish getImage
15:23:39 701	 1:start getImage
15:23:39 701	 2 getImage times:0
15:23:39 704	3  GrabFrame times:0,result=
15:23:39 709	 5 ImageProcess result=
15:23:39 713	7 finish getImage
15:23:39 886	 1:start getImage
15:23:39 887	 2 getImage times:0
15:23:39 888	3  GrabFrame times:0,result=
15:23:39 895	 5 ImageProcess result=
15:23:39 899	7 finish getImage
15:23:39 901	 1:start getImage
15:23:39 901	 2 getImage times:0
15:23:39 904	3  GrabFrame times:0,result=
15:23:39 909	 5 ImageProcess result=
15:23:39 913	7 finish getImage
15:23:40 088	 1:start getImage
15:23:40 089	 2 getImage times:0
15:23:40 090	3  GrabFrame times:0,result=
15:23:40 097	 5 ImageProcess result=
15:23:40 101	7 finish getImage
15:23:40 103	 1:start getImage
15:23:40 103	 2 getImage times:0
15:23:40 104	3  GrabFrame times:0,result=
15:23:40 110	 5 ImageProcess result=
15:23:40 113	7 finish getImage
15:23:40 285	 1:start getImage
15:23:40 286	 2 getImage times:0
15:23:40 287	3  GrabFrame times:0,result=
15:23:40 294	 5 ImageProcess result=
15:23:40 298	7 finish getImage
15:23:40 300	 1:start getImage
15:23:40 300	 2 getImage times:0
15:23:40 303	3  GrabFrame times:0,result=
15:23:40 309	 5 ImageProcess result=
15:23:40 312	7 finish getImage
15:23:40 485	 1:start getImage
15:23:40 486	 2 getImage times:0
15:23:40 487	3  GrabFrame times:0,result=
15:23:40 494	 5 ImageProcess result=
15:23:40 497	7 finish getImage
15:23:40 500	 1:start getImage
15:23:40 500	 2 getImage times:0
15:23:40 504	3  GrabFrame times:0,result=
15:23:40 509	 5 ImageProcess result=
