00:02:44 062	 5 ImageProcess result=
00:02:44 065	7 finish getImage
00:02:44 067	 1:start getImage
00:02:44 068	 2 getImage times:0
00:02:44 069	3  GrabFrame times:0,result=
00:02:44 074	 5 ImageProcess result=
00:02:44 077	7 finish getImage
00:02:44 497	 1:start getImage
00:02:44 498	 2 getImage times:0
00:02:44 499	3  GrabFrame times:0,result=
00:02:44 503	 5 ImageProcess result=
00:02:44 506	7 finish getImage
00:02:44 508	 1:start getImage
00:02:44 509	 2 getImage times:0
00:02:44 510	3  GrabFrame times:0,result=
00:02:44 515	 5 ImageProcess result=
00:02:44 518	7 finish getImage
00:02:44 935	 1:start getImage
00:02:44 936	 2 getImage times:0
00:02:44 937	3  GrabFrame times:0,result=
00:02:44 942	 5 ImageProcess result=
00:02:44 945	7 finish getImage
00:02:44 947	 1:start getImage
00:02:44 948	 2 getImage times:0
00:02:44 949	3  GrabFrame times:0,result=
00:02:44 953	 5 ImageProcess result=
00:02:44 957	7 finish getImage
00:02:45 374	 1:start getImage
00:02:45 375	 2 getImage times:0
00:02:45 376	3  GrabFrame times:0,result=
00:02:45 381	 5 ImageProcess result=
00:02:45 384	7 finish getImage
00:02:45 386	 1:start getImage
00:02:45 386	 2 getImage times:0
00:02:45 388	3  GrabFrame times:0,result=
00:02:45 393	 5 ImageProcess result=
00:02:45 396	7 finish getImage
00:02:45 814	 1:start getImage
00:02:45 815	 2 getImage times:0
00:02:45 816	3  GrabFrame times:0,result=
00:02:45 820	 5 ImageProcess result=
00:02:45 823	7 finish getImage
00:02:45 825	 1:start getImage
00:02:45 826	 2 getImage times:0
00:02:45 829	3  GrabFrame times:0,result=
00:02:45 833	 5 ImageProcess result=
00:02:45 836	7 finish getImage
00:02:46 263	 1:start getImage
00:02:46 264	 2 getImage times:0
00:02:46 265	3  GrabFrame times:0,result=
00:02:46 270	 5 ImageProcess result=
00:02:46 273	7 finish getImage
00:02:46 274	 1:start getImage
00:02:46 275	 2 getImage times:0
00:02:46 276	3  GrabFrame times:0,result=
00:02:46 281	 5 ImageProcess result=
00:02:46 283	7 finish getImage
00:02:46 702	 1:start getImage
00:02:46 703	 2 getImage times:0
00:02:46 704	3  GrabFrame times:0,result=
00:02:46 709	 5 ImageProcess result=
00:02:46 711	7 finish getImage
00:02:46 713	 1:start getImage
00:02:46 714	 2 getImage times:0
00:02:46 715	3  GrabFrame times:0,result=
00:02:46 720	 5 ImageProcess result=
00:02:46 723	7 finish getImage
00:02:49 753	 1:start getImage
00:02:49 754	 2 getImage times:0
00:02:49 755	3  GrabFrame times:0,result=
00:02:49 760	 5 ImageProcess result=
00:02:49 763	7 finish getImage
00:02:49 765	 1:start getImage
00:02:49 766	 2 getImage times:0
00:02:49 789	3  GrabFrame times:0,result=
00:02:49 794	 5 ImageProcess result=
00:02:49 797	7 finish getImage
00:02:50 350	 1:start getImage
00:02:50 351	 2 getImage times:0
00:02:50 352	3  GrabFrame times:0,result=
00:02:50 357	 5 ImageProcess result=
00:02:50 360	7 finish getImage
00:02:50 361	 1:start getImage
00:02:50 362	 2 getImage times:0
00:02:50 388	3  GrabFrame times:0,result=
00:02:50 393	 5 ImageProcess result=
00:02:50 396	7 finish getImage
00:02:51 155	 1:start getImage
00:02:51 156	 2 getImage times:0
00:02:51 157	3  GrabFrame times:0,result=
00:02:51 162	 5 ImageProcess result=
00:02:51 165	7 finish getImage
00:02:51 167	 1:start getImage
00:02:51 167	 2 getImage times:0
00:02:51 189	3  GrabFrame times:0,result=
00:02:51 193	 5 ImageProcess result=
00:02:51 196	7 finish getImage
00:02:51 580	 1:start getImage
00:02:51 581	 2 getImage times:0
00:02:51 582	3  GrabFrame times:0,result=
00:02:51 587	 5 ImageProcess result=
00:02:51 590	7 finish getImage
00:02:51 592	 1:start getImage
00:02:51 592	 2 getImage times:0
00:02:51 593	3  GrabFrame times:0,result=
00:02:51 598	 5 ImageProcess result=
00:02:51 601	7 finish getImage
00:02:51 979	 1:start getImage
00:02:51 980	 2 getImage times:0
00:02:51 981	3  GrabFrame times:0,result=
00:02:51 986	 5 ImageProcess result=
00:02:51 989	7 finish getImage
00:02:51 990	 1:start getImage
00:02:51 991	 2 getImage times:0
00:02:51 992	3  GrabFrame times:0,result=
00:02:51 997	 5 ImageProcess result=
00:02:52 000	7 finish getImage
00:02:52 385	 1:start getImage
00:02:52 386	 2 getImage times:0
00:02:52 387	3  GrabFrame times:0,result=
00:02:52 392	 5 ImageProcess result=
00:02:52 395	7 finish getImage
00:02:52 396	 1:start getImage
00:02:52 397	 2 getImage times:0
00:02:52 398	3  GrabFrame times:0,result=
00:02:52 403	 5 ImageProcess result=
00:02:52 406	7 finish getImage
00:02:52 790	 1:start getImage
00:02:52 791	 2 getImage times:0
00:02:52 792	3  GrabFrame times:0,result=
00:02:52 797	 5 ImageProcess result=
00:02:52 800	7 finish getImage
00:02:52 801	 1:start getImage
00:02:52 802	 2 getImage times:0
00:02:52 829	3  GrabFrame times:0,result=
00:02:52 833	 5 ImageProcess result=
00:02:52 836	7 finish getImage
00:02:53 216	 1:start getImage
00:02:53 217	 2 getImage times:0
00:02:53 218	3  GrabFrame times:0,result=
00:02:53 223	 5 ImageProcess result=
00:02:53 226	7 finish getImage
00:02:53 227	 1:start getImage
00:02:53 228	 2 getImage times:0
00:02:53 229	3  GrabFrame times:0,result=
00:02:53 233	 5 ImageProcess result=
00:02:53 237	7 finish getImage
00:02:53 616	 1:start getImage
00:02:53 617	 2 getImage times:0
00:02:53 618	3  GrabFrame times:0,result=
00:02:53 623	 5 ImageProcess result=
00:02:53 626	7 finish getImage
00:02:53 627	 1:start getImage
00:02:53 628	 2 getImage times:0
00:02:53 629	3  GrabFrame times:0,result=
00:02:53 633	 5 ImageProcess result=
00:02:53 637	7 finish getImage
