16:45:29 326	 start loadBaseParameter 
17:06:59 429	 5 ImageProcess result=
17:06:59 433	7 finish getImage
17:06:59 434	 1:start getImage
17:06:59 435	 2 getImage times:0
17:06:59 436	3  GrabFrame times:0,result=
17:06:59 440	 5 ImageProcess result=
17:06:59 443	7 finish getImage
17:06:59 869	 1:start getImage
17:06:59 870	 2 getImage times:0
17:06:59 871	3  GrabFrame times:0,result=
17:06:59 875	 5 ImageProcess result=
17:06:59 879	7 finish getImage
17:06:59 880	 1:start getImage
17:06:59 881	 2 getImage times:0
17:06:59 907	3  GrabFrame times:0,result=
17:06:59 911	 5 ImageProcess result=
17:06:59 915	7 finish getImage
17:07:00 339	 1:start getImage
17:07:00 340	 2 getImage times:0
17:07:00 341	3  GrabFrame times:0,result=
17:07:00 346	 5 ImageProcess result=
17:07:00 349	7 finish getImage
17:07:00 350	 1:start getImage
17:07:00 351	 2 getImage times:0
17:07:00 352	3  GrabFrame times:0,result=
17:07:00 357	 5 ImageProcess result=
17:07:00 360	7 finish getImage
17:07:00 784	 1:start getImage
17:07:00 785	 2 getImage times:0
17:07:00 786	3  GrabFrame times:0,result=
17:07:00 790	 5 ImageProcess result=
17:07:00 793	7 finish getImage
17:07:00 795	 1:start getImage
17:07:00 796	 2 getImage times:0
17:07:00 797	3  GrabFrame times:0,result=
17:07:00 802	 5 ImageProcess result=
17:07:00 805	7 finish getImage
17:07:01 225	 1:start getImage
17:07:01 226	 2 getImage times:0
17:07:01 227	3  GrabFrame times:0,result=
17:07:01 231	 5 ImageProcess result=
17:07:01 235	7 finish getImage
17:07:01 237	 1:start getImage
17:07:01 237	 2 getImage times:0
17:07:01 267	3  GrabFrame times:0,result=
17:07:01 272	 5 ImageProcess result=
17:07:01 275	7 finish getImage
17:07:01 701	 1:start getImage
17:07:01 702	 2 getImage times:0
17:07:01 703	3  GrabFrame times:0,result=
17:07:01 707	 5 ImageProcess result=
17:07:01 710	7 finish getImage
17:07:01 712	 1:start getImage
17:07:01 712	 2 getImage times:0
17:07:01 713	3  GrabFrame times:0,result=
17:07:01 718	 5 ImageProcess result=
17:07:01 721	7 finish getImage
17:07:02 142	 1:start getImage
17:07:02 143	 2 getImage times:0
17:07:02 144	3  GrabFrame times:0,result=
17:07:02 149	 5 ImageProcess result=
17:07:02 152	7 finish getImage
17:07:02 153	 1:start getImage
17:07:02 154	 2 getImage times:0
17:07:02 155	3  GrabFrame times:0,result=
17:07:02 160	 5 ImageProcess result=
17:07:02 163	7 finish getImage
17:07:02 585	 1:start getImage
17:07:02 586	 2 getImage times:0
17:07:02 587	3  GrabFrame times:0,result=
17:07:02 591	 5 ImageProcess result=
17:07:02 595	7 finish getImage
17:07:02 596	 1:start getImage
17:07:02 597	 2 getImage times:0
17:07:02 598	3  GrabFrame times:0,result=
17:07:02 603	 5 ImageProcess result=
17:07:02 606	7 finish getImage
17:07:03 027	 1:start getImage
17:07:03 028	 2 getImage times:0
17:07:03 029	3  GrabFrame times:0,result=
17:07:03 033	 5 ImageProcess result=
17:07:03 037	7 finish getImage
17:07:03 038	 1:start getImage
17:07:03 039	 2 getImage times:0
17:07:03 067	3  GrabFrame times:0,result=
17:07:03 071	 5 ImageProcess result=
17:07:03 074	7 finish getImage
17:07:03 500	 1:start getImage
17:07:03 501	 2 getImage times:0
17:07:03 502	3  GrabFrame times:0,result=
17:07:03 506	 5 ImageProcess result=
17:07:03 509	7 finish getImage
17:07:03 511	 1:start getImage
17:07:03 512	 2 getImage times:0
17:07:03 513	3  GrabFrame times:0,result=
17:07:03 517	 5 ImageProcess result=
17:07:03 521	7 finish getImage
17:07:05 912	 1:start getImage
17:07:05 913	 2 getImage times:0
17:07:05 914	3  GrabFrame times:0,result=
17:07:05 919	 5 ImageProcess result=
17:07:05 922	7 finish getImage
17:07:05 924	 1:start getImage
17:07:05 925	 2 getImage times:0
17:07:05 947	3  GrabFrame times:0,result=
17:07:05 952	 5 ImageProcess result=
17:07:05 956	7 finish getImage
17:07:06 130	 1:start getImage
17:07:06 131	 2 getImage times:0
17:07:06 132	3  GrabFrame times:0,result=
17:07:06 136	 5 ImageProcess result=
17:07:06 140	7 finish getImage
17:07:06 141	 1:start getImage
17:07:06 142	 2 getImage times:0
17:07:06 147	3  GrabFrame times:0,result=
17:07:06 152	 5 ImageProcess result=
17:07:06 155	7 finish getImage
17:07:06 325	 1:start getImage
17:07:06 326	 2 getImage times:0
17:07:06 327	3  GrabFrame times:0,result=
17:07:06 332	 5 ImageProcess result=
17:07:06 335	7 finish getImage
17:07:06 336	 1:start getImage
17:07:06 337	 2 getImage times:0
17:07:06 347	3  GrabFrame times:0,result=
17:07:06 351	 5 ImageProcess result=
17:07:06 354	7 finish getImage
17:07:06 526	 1:start getImage
17:07:06 527	 2 getImage times:0
17:07:06 528	3  GrabFrame times:0,result=
17:07:06 532	 5 ImageProcess result=
17:07:06 536	7 finish getImage
17:07:06 537	 1:start getImage
17:07:06 538	 2 getImage times:0
17:07:06 547	3  GrabFrame times:0,result=
17:07:06 551	 5 ImageProcess result=
17:07:06 554	7 finish getImage
17:07:06 724	 1:start getImage
17:07:06 725	 2 getImage times:0
17:07:06 726	3  GrabFrame times:0,result=
17:07:06 730	 5 ImageProcess result=
17:07:06 734	7 finish getImage
17:07:06 735	 1:start getImage
17:07:06 736	 2 getImage times:0
17:07:06 747	3  GrabFrame times:0,result=
17:07:06 751	 5 ImageProcess result=
17:07:06 754	7 finish getImage
17:07:06 924	 1:start getImage
17:07:06 925	 2 getImage times:0
17:07:06 926	3  GrabFrame times:0,result=
17:07:06 930	 5 ImageProcess result=
17:07:06 933	7 finish getImage
17:07:06 935	 1:start getImage
17:07:06 936	 2 getImage times:0
17:07:06 947	3  GrabFrame times:0,result=
17:07:06 951	 5 ImageProcess result=
17:07:06 954	7 finish getImage
17:07:07 125	 1:start getImage
17:07:07 126	 2 getImage times:0
17:07:07 127	3  GrabFrame times:0,result=
17:07:07 131	 5 ImageProcess result=
17:07:07 134	7 finish getImage
17:07:07 136	 1:start getImage
17:07:07 137	 2 getImage times:0
17:07:07 147	3  GrabFrame times:0,result=
17:07:07 152	 5 ImageProcess result=
17:07:07 155	7 finish getImage
17:07:07 325	 1:start getImage
17:07:07 326	 2 getImage times:0
17:07:07 327	3  GrabFrame times:0,result=
17:07:07 331	 5 ImageProcess result=
17:07:07 334	7 finish getImage
17:07:07 336	 1:start getImage
17:07:07 337	 2 getImage times:0
17:07:07 347	3  GrabFrame times:0,result=
17:07:07 352	 5 ImageProcess result=
17:07:07 355	7 finish getImage
17:07:08 782	 1:start getImage
17:07:08 782	 2 getImage times:0
17:07:08 784	3  GrabFrame times:0,result=
17:07:08 788	 5 ImageProcess result=
17:07:08 792	7 finish getImage
17:07:08 793	 1:start getImage
17:07:08 794	 2 getImage times:0
17:07:08 795	3  GrabFrame times:0,result=
17:07:08 800	 5 ImageProcess result=
17:07:08 804	7 finish getImage
17:07:08 982	 1:start getImage
17:07:08 983	 2 getImage times:0
17:07:08 984	3  GrabFrame times:0,result=
17:07:08 989	 5 ImageProcess result=
17:07:08 992	7 finish getImage
17:07:08 993	 1:start getImage
17:07:08 994	 2 getImage times:0
17:07:08 995	3  GrabFrame times:0,result=
17:07:09 000	 5 ImageProcess result=
17:07:09 003	7 finish getImage
17:07:09 179	 1:start getImage
17:07:09 180	 2 getImage times:0
17:07:09 181	3  GrabFrame times:0,result=
17:07:09 186	 5 ImageProcess result=
17:07:09 189	7 finish getImage
17:07:09 190	 1:start getImage
17:07:09 191	 2 getImage times:0
17:07:09 192	3  GrabFrame times:0,result=
17:07:09 197	 5 ImageProcess result=
17:07:09 200	7 finish getImage
17:07:09 376	 1:start getImage
17:07:09 377	 2 getImage times:0
17:07:09 378	3  GrabFrame times:0,result=
17:07:09 383	 5 ImageProcess result=
17:07:09 386	7 finish getImage
17:07:09 387	 1:start getImage
17:07:09 388	 2 getImage times:0
17:07:09 389	3  GrabFrame times:0,result=
17:07:09 394	 5 ImageProcess result=
17:07:09 397	7 finish getImage
17:07:09 573	 1:start getImage
17:07:09 574	 2 getImage times:0
17:07:09 575	3  GrabFrame times:0,result=
17:07:09 580	 5 ImageProcess result=
17:07:09 583	7 finish getImage
17:07:09 584	 1:start getImage
17:07:09 585	 2 getImage times:0
17:07:09 587	3  GrabFrame times:0,result=
17:07:09 592	 5 ImageProcess result=
17:07:09 595	7 finish getImage
17:07:09 770	 1:start getImage
17:07:09 771	 2 getImage times:0
17:07:09 772	3  GrabFrame times:0,result=
17:07:09 777	 5 ImageProcess result=
17:07:09 780	7 finish getImage
17:07:09 781	 1:start getImage
17:07:09 782	 2 getImage times:0
17:07:09 787	3  GrabFrame times:0,result=
17:07:09 791	 5 ImageProcess result=
17:07:09 794	7 finish getImage
17:07:09 970	 1:start getImage
17:07:09 971	 2 getImage times:0
17:07:09 972	3  GrabFrame times:0,result=
17:07:09 977	 5 ImageProcess result=
17:07:09 980	7 finish getImage
17:07:09 981	 1:start getImage
17:07:09 982	 2 getImage times:0
17:07:09 987	3  GrabFrame times:0,result=
17:07:09 992	 5 ImageProcess result=
17:07:09 995	7 finish getImage
17:07:10 171	 1:start getImage
17:07:10 172	 2 getImage times:0
17:07:10 173	3  GrabFrame times:0,result=
17:07:10 178	 5 ImageProcess result=
17:07:10 181	7 finish getImage
17:07:10 182	 1:start getImage
17:07:10 183	 2 getImage times:0
17:07:10 187	3  GrabFrame times:0,result=
17:07:10 191	 5 ImageProcess result=
17:07:10 194	7 finish getImage
17:07:10 370	 1:start getImage
17:07:10 371	 2 getImage times:0
17:07:10 372	3  GrabFrame times:0,result=
17:07:10 377	 5 ImageProcess result=
17:07:10 380	7 finish getImage
17:07:10 381	 1:start getImage
17:07:10 382	 2 getImage times:0
17:07:10 387	3  GrabFrame times:0,result=
17:07:10 391	 5 ImageProcess result=
17:07:10 395	7 finish getImage
17:07:10 571	 1:start getImage
17:07:10 572	 2 getImage times:0
17:07:10 573	3  GrabFrame times:0,result=
17:07:10 578	 5 ImageProcess result=
17:07:10 582	7 finish getImage
17:07:10 584	 1:start getImage
17:07:10 585	 2 getImage times:0
17:07:10 587	3  GrabFrame times:0,result=
17:07:10 596	 5 ImageProcess result=
17:07:10 600	7 finish getImage
17:07:10 969	 1:start getImage
17:07:10 970	 2 getImage times:0
17:07:10 971	3  GrabFrame times:0,result=
17:07:10 976	 5 ImageProcess result=
17:07:10 979	7 finish getImage
17:07:10 980	 1:start getImage
17:07:10 981	 2 getImage times:0
17:07:10 987	3  GrabFrame times:0,result=
17:07:10 992	 5 ImageProcess result=
17:07:10 995	7 finish getImage
17:07:11 674	 1:start getImage
17:07:11 675	 2 getImage times:0
17:07:11 676	3  GrabFrame times:0,result=
17:07:11 681	 5 ImageProcess result=
17:07:11 684	7 finish getImage
17:07:11 685	 1:start getImage
17:07:11 686	 2 getImage times:0
17:07:11 707	3  GrabFrame times:0,result=
17:07:11 711	 5 ImageProcess result=
17:07:11 714	7 finish getImage
17:07:11 938	 1:start getImage
17:07:11 939	 2 getImage times:0
17:07:11 940	3  GrabFrame times:0,result=
17:07:11 945	 5 ImageProcess result=
17:07:11 948	7 finish getImage
17:07:11 950	 1:start getImage
17:07:11 951	 2 getImage times:0
17:07:11 952	3  GrabFrame times:0,result=
17:07:11 957	 5 ImageProcess result=
17:07:11 960	7 finish getImage
17:07:12 140	 1:start getImage
17:07:12 141	 2 getImage times:0
17:07:12 142	3  GrabFrame times:0,result=
17:07:12 147	 5 ImageProcess result=
17:07:12 150	7 finish getImage
17:07:12 151	 1:start getImage
17:07:12 152	 2 getImage times:0
17:07:12 153	3  GrabFrame times:0,result=
17:07:12 158	 5 ImageProcess result=
17:07:12 162	7 finish getImage
17:07:12 338	 1:start getImage
17:07:12 339	 2 getImage times:0
17:07:12 340	3  GrabFrame times:0,result=
17:07:12 345	 5 ImageProcess result=
17:07:12 348	7 finish getImage
17:07:12 349	 1:start getImage
17:07:12 350	 2 getImage times:0
17:07:12 351	3  GrabFrame times:0,result=
17:07:12 355	 5 ImageProcess result=
17:07:12 359	7 finish getImage
17:07:12 535	 1:start getImage
17:07:12 536	 2 getImage times:0
17:07:12 537	3  GrabFrame times:0,result=
17:07:12 541	 5 ImageProcess result=
17:07:12 544	7 finish getImage
17:07:12 546	 1:start getImage
17:07:12 546	 2 getImage times:0
17:07:12 548	3  GrabFrame times:0,result=
17:07:12 552	 5 ImageProcess result=
17:07:12 555	7 finish getImage
17:07:12 731	 1:start getImage
17:07:12 732	 2 getImage times:0
17:07:12 733	3  GrabFrame times:0,result=
17:07:12 737	 5 ImageProcess result=
17:07:12 740	7 finish getImage
17:07:12 742	 1:start getImage
17:07:12 743	 2 getImage times:0
17:07:12 747	3  GrabFrame times:0,result=
17:07:12 752	 5 ImageProcess result=
17:07:12 755	7 finish getImage
17:07:12 931	 1:start getImage
17:07:12 932	 2 getImage times:0
17:07:12 933	3  GrabFrame times:0,result=
17:07:12 937	 5 ImageProcess result=
17:07:12 941	7 finish getImage
17:07:12 942	 1:start getImage
17:07:12 943	 2 getImage times:0
17:07:12 947	3  GrabFrame times:0,result=
17:07:12 952	 5 ImageProcess result=
17:07:12 955	7 finish getImage
17:07:13 130	 1:start getImage
17:07:13 131	 2 getImage times:0
17:07:13 132	3  GrabFrame times:0,result=
17:07:13 136	 5 ImageProcess result=
17:07:13 139	7 finish getImage
17:07:13 141	 1:start getImage
17:07:13 142	 2 getImage times:0
17:07:13 148	3  GrabFrame times:0,result=
17:07:13 152	 5 ImageProcess result=
17:07:13 155	7 finish getImage
17:07:13 330	 1:start getImage
17:07:13 331	 2 getImage times:0
17:07:13 332	3  GrabFrame times:0,result=
17:07:13 337	 5 ImageProcess result=
17:07:13 340	7 finish getImage
17:07:13 341	 1:start getImage
17:07:13 342	 2 getImage times:0
17:07:13 347	3  GrabFrame times:0,result=
17:07:13 352	 5 ImageProcess result=
17:07:13 355	7 finish getImage
17:07:13 531	 1:start getImage
17:07:13 532	 2 getImage times:0
17:07:13 533	3  GrabFrame times:0,result=
17:07:13 537	 5 ImageProcess result=
17:07:13 540	7 finish getImage
17:07:13 542	 1:start getImage
17:07:13 543	 2 getImage times:0
17:07:13 547	3  GrabFrame times:0,result=
17:07:13 552	 5 ImageProcess result=
17:07:13 555	7 finish getImage
17:07:14 164	 1:start getImage
17:07:14 165	 2 getImage times:0
17:07:14 166	3  GrabFrame times:0,result=
17:07:14 171	 5 ImageProcess result=
17:07:14 174	7 finish getImage
17:07:14 175	 1:start getImage
17:07:14 176	 2 getImage times:0
17:07:14 187	3  GrabFrame times:0,result=
17:07:14 192	 5 ImageProcess result=
17:07:14 195	7 finish getImage
17:07:14 626	 1:start getImage
17:07:14 627	 2 getImage times:0
17:07:14 628	3  GrabFrame times:0,result=
17:07:14 632	 5 ImageProcess result=
17:07:14 636	7 finish getImage
17:07:14 637	 1:start getImage
17:07:14 638	 2 getImage times:0
17:07:14 667	3  GrabFrame times:0,result=
17:07:14 672	 5 ImageProcess result=
17:07:14 675	7 finish getImage
17:07:15 105	 1:start getImage
17:07:15 106	 2 getImage times:0
17:07:15 107	3  GrabFrame times:0,result=
17:07:15 112	 5 ImageProcess result=
17:07:15 115	7 finish getImage
17:07:15 116	 1:start getImage
17:07:15 117	 2 getImage times:0
17:07:15 147	3  GrabFrame times:0,result=
17:07:15 151	 5 ImageProcess result=
17:07:15 154	7 finish getImage
17:07:15 582	 1:start getImage
17:07:15 583	 2 getImage times:0
17:07:15 584	3  GrabFrame times:0,result=
17:07:15 588	 5 ImageProcess result=
17:07:15 591	7 finish getImage
17:07:15 593	 1:start getImage
17:07:15 593	 2 getImage times:0
17:07:15 594	3  GrabFrame times:0,result=
17:07:15 599	 5 ImageProcess result=
17:07:15 603	7 finish getImage
17:07:16 034	 1:start getImage
17:07:16 035	 2 getImage times:0
17:07:16 036	3  GrabFrame times:0,result=
17:07:16 041	 5 ImageProcess result=
17:07:16 044	7 finish getImage
17:07:16 045	 1:start getImage
17:07:16 046	 2 getImage times:0
17:07:16 067	3  GrabFrame times:0,result=
17:07:16 072	 5 ImageProcess result=
17:07:16 075	7 finish getImage
17:07:16 507	 1:start getImage
17:07:16 508	 2 getImage times:0
17:07:16 509	3  GrabFrame times:0,result=
17:07:16 513	 5 ImageProcess result=
17:07:16 516	7 finish getImage
17:07:16 518	 1:start getImage
17:07:16 519	 2 getImage times:0
17:07:16 547	3  GrabFrame times:0,result=
17:07:16 552	 5 ImageProcess result=
17:07:16 555	7 finish getImage
17:07:16 987	 1:start getImage
17:07:16 988	 2 getImage times:0
17:07:16 989	3  GrabFrame times:0,result=
17:07:16 993	 5 ImageProcess result=
17:07:16 997	7 finish getImage
17:07:16 998	 1:start getImage
17:07:16 999	 2 getImage times:0
17:07:17 027	3  GrabFrame times:0,result=
17:07:17 031	 5 ImageProcess result=
17:07:17 034	7 finish getImage
17:07:17 465	 1:start getImage
17:07:17 466	 2 getImage times:0
17:07:17 467	3  GrabFrame times:0,result=
17:07:17 472	 5 ImageProcess result=
17:07:17 475	7 finish getImage
17:07:17 477	 1:start getImage
17:07:17 477	 2 getImage times:0
17:07:17 507	3  GrabFrame times:0,result=
17:07:17 512	 5 ImageProcess result=
17:07:17 515	7 finish getImage
17:07:17 946	 1:start getImage
17:07:17 947	 2 getImage times:0
17:07:17 948	3  GrabFrame times:0,result=
17:07:17 952	 5 ImageProcess result=
17:07:17 956	7 finish getImage
17:07:17 958	 1:start getImage
17:07:17 958	 2 getImage times:0
17:07:17 987	3  GrabFrame times:0,result=
17:07:17 992	 5 ImageProcess result=
17:07:17 995	7 finish getImage
17:07:18 428	 1:start getImage
17:07:18 428	 2 getImage times:0
17:07:18 429	3  GrabFrame times:0,result=
17:07:18 435	 5 ImageProcess result=
17:07:18 437	7 finish getImage
17:07:18 439	 1:start getImage
17:07:18 439	 2 getImage times:0
17:07:18 466	3  GrabFrame times:0,result=
17:07:18 471	 5 ImageProcess result=
17:07:18 474	7 finish getImage
17:07:18 906	 1:start getImage
17:07:18 907	 2 getImage times:0
17:07:18 908	3  GrabFrame times:0,result=
17:07:18 912	 5 ImageProcess result=
17:07:18 915	7 finish getImage
17:07:18 917	 1:start getImage
17:07:18 918	 2 getImage times:0
17:07:18 947	3  GrabFrame times:0,result=
17:07:18 951	 5 ImageProcess result=
17:07:18 955	7 finish getImage
17:07:19 387	 1:start getImage
17:07:19 388	 2 getImage times:0
17:07:19 389	3  GrabFrame times:0,result=
17:07:19 393	 5 ImageProcess result=
17:07:19 397	7 finish getImage
17:07:19 398	 1:start getImage
17:07:19 399	 2 getImage times:0
17:07:19 427	3  GrabFrame times:0,result=
17:07:19 432	 5 ImageProcess result=
17:07:19 435	7 finish getImage
17:07:20 132	 1:start getImage
17:07:20 132	 2 getImage times:0
17:07:20 134	3  GrabFrame times:0,result=
17:07:20 139	 5 ImageProcess result=
17:07:20 144	7 finish getImage
17:07:20 146	 1:start getImage
17:07:20 147	 2 getImage times:0
17:07:20 148	3  GrabFrame times:0,result=
17:07:20 153	 5 ImageProcess result=
17:07:20 156	7 finish getImage
17:07:20 347	 1:start getImage
17:07:20 348	 2 getImage times:0
17:07:20 349	3  GrabFrame times:0,result=
17:07:20 354	 5 ImageProcess result=
17:07:20 357	7 finish getImage
17:07:20 359	 1:start getImage
17:07:20 359	 2 getImage times:0
17:07:20 387	3  GrabFrame times:0,result=
17:07:20 391	 5 ImageProcess result=
17:07:20 395	7 finish getImage
17:07:20 572	 1:start getImage
17:07:20 573	 2 getImage times:0
17:07:20 574	3  GrabFrame times:0,result=
17:07:20 579	 5 ImageProcess result=
17:07:20 582	7 finish getImage
17:07:20 584	 1:start getImage
17:07:20 584	 2 getImage times:0
17:07:20 587	3  GrabFrame times:0,result=
17:07:20 591	 5 ImageProcess result=
17:07:20 594	7 finish getImage
17:07:20 771	 1:start getImage
17:07:20 772	 2 getImage times:0
17:07:20 773	3  GrabFrame times:0,result=
17:07:20 778	 5 ImageProcess result=
17:07:20 781	7 finish getImage
17:07:20 782	 1:start getImage
17:07:20 783	 2 getImage times:0
17:07:20 787	3  GrabFrame times:0,result=
17:07:20 791	 5 ImageProcess result=
17:07:20 794	7 finish getImage
17:07:20 972	 1:start getImage
17:07:20 973	 2 getImage times:0
17:07:20 974	3  GrabFrame times:0,result=
17:07:20 979	 5 ImageProcess result=
17:07:20 982	7 finish getImage
17:07:20 983	 1:start getImage
17:07:20 984	 2 getImage times:0
17:07:20 987	3  GrabFrame times:0,result=
17:07:20 992	 5 ImageProcess result=
17:07:20 995	7 finish getImage
17:07:21 173	 1:start getImage
17:07:21 174	 2 getImage times:0
17:07:21 175	3  GrabFrame times:0,result=
17:07:21 180	 5 ImageProcess result=
17:07:21 183	7 finish getImage
17:07:21 184	 1:start getImage
17:07:21 185	 2 getImage times:0
17:07:21 187	3  GrabFrame times:0,result=
17:07:21 192	 5 ImageProcess result=
17:07:21 194	7 finish getImage
17:07:21 370	 1:start getImage
17:07:21 371	 2 getImage times:0
17:07:21 372	3  GrabFrame times:0,result=
17:07:21 376	 5 ImageProcess result=
17:07:21 380	7 finish getImage
17:07:21 381	 1:start getImage
17:07:21 382	 2 getImage times:0
17:07:21 387	3  GrabFrame times:0,result=
17:07:21 391	 5 ImageProcess result=
17:07:21 394	7 finish getImage
17:07:21 571	 1:start getImage
17:07:21 572	 2 getImage times:0
17:07:21 573	3  GrabFrame times:0,result=
17:07:21 580	 5 ImageProcess result=
17:07:21 583	7 finish getImage
17:07:21 585	 1:start getImage
17:07:21 585	 2 getImage times:0
17:07:21 587	3  GrabFrame times:0,result=
17:07:21 591	 5 ImageProcess result=
17:07:21 596	7 finish getImage
17:07:21 777	 1:start getImage
17:07:21 778	 2 getImage times:0
17:07:21 779	3  GrabFrame times:0,result=
17:07:21 784	 5 ImageProcess result=
17:07:21 787	7 finish getImage
17:07:21 789	 1:start getImage
17:07:21 789	 2 getImage times:0
17:07:21 790	3  GrabFrame times:0,result=
17:07:21 795	 5 ImageProcess result=
17:07:21 799	7 finish getImage
17:07:21 978	 1:start getImage
17:07:21 979	 2 getImage times:0
17:07:21 980	3  GrabFrame times:0,result=
17:07:21 985	 5 ImageProcess result=
17:07:21 988	7 finish getImage
17:07:21 989	 1:start getImage
17:07:21 990	 2 getImage times:0
17:07:21 991	3  GrabFrame times:0,result=
17:07:21 995	 5 ImageProcess result=
17:07:21 999	7 finish getImage
17:07:22 174	 1:start getImage
17:07:22 175	 2 getImage times:0
17:07:22 176	3  GrabFrame times:0,result=
17:07:22 181	 5 ImageProcess result=
17:07:22 184	7 finish getImage
17:07:22 185	 1:start getImage
17:07:22 186	 2 getImage times:0
17:07:22 187	3  GrabFrame times:0,result=
17:07:22 192	 5 ImageProcess result=
17:07:22 195	7 finish getImage
17:07:22 370	 1:start getImage
17:07:22 371	 2 getImage times:0
17:07:22 372	3  GrabFrame times:0,result=
17:07:22 376	 5 ImageProcess result=
17:07:22 379	7 finish getImage
17:07:22 381	 1:start getImage
17:07:22 382	 2 getImage times:0
17:07:22 387	3  GrabFrame times:0,result=
17:07:22 392	 5 ImageProcess result=
17:07:22 395	7 finish getImage
17:07:22 571	 1:start getImage
17:07:22 572	 2 getImage times:0
17:07:22 573	3  GrabFrame times:0,result=
17:07:22 578	 5 ImageProcess result=
17:07:22 581	7 finish getImage
17:07:22 582	 1:start getImage
17:07:22 583	 2 getImage times:0
17:07:22 587	3  GrabFrame times:0,result=
17:07:22 592	 5 ImageProcess result=
17:07:22 595	7 finish getImage
17:07:22 771	 1:start getImage
17:07:22 772	 2 getImage times:0
17:07:22 773	3  GrabFrame times:0,result=
17:07:22 778	 5 ImageProcess result=
17:07:22 780	7 finish getImage
17:07:22 782	 1:start getImage
17:07:22 783	 2 getImage times:0
17:07:22 787	3  GrabFrame times:0,result=
17:07:22 791	 5 ImageProcess result=
17:07:22 794	7 finish getImage
17:07:22 971	 1:start getImage
17:07:22 972	 2 getImage times:0
17:07:22 973	3  GrabFrame times:0,result=
17:07:22 978	 5 ImageProcess result=
17:07:22 980	7 finish getImage
17:07:22 982	 1:start getImage
17:07:22 983	 2 getImage times:0
17:07:22 987	3  GrabFrame times:0,result=
17:07:22 992	 5 ImageProcess result=
17:07:22 995	7 finish getImage
17:07:23 171	 1:start getImage
17:07:23 172	 2 getImage times:0
17:07:23 173	3  GrabFrame times:0,result=
17:07:23 178	 5 ImageProcess result=
17:07:23 181	7 finish getImage
17:07:23 182	 1:start getImage
17:07:23 183	 2 getImage times:0
17:07:23 187	3  GrabFrame times:0,result=
17:07:23 191	 5 ImageProcess result=
17:07:23 195	7 finish getImage
17:07:23 371	 1:start getImage
17:07:23 372	 2 getImage times:0
17:07:23 373	3  GrabFrame times:0,result=
17:07:23 378	 5 ImageProcess result=
17:07:23 381	7 finish getImage
17:07:23 382	 1:start getImage
17:07:23 383	 2 getImage times:0
17:07:23 387	3  GrabFrame times:0,result=
17:07:23 392	 5 ImageProcess result=
17:07:23 395	7 finish getImage
17:07:23 571	 1:start getImage
17:07:23 572	 2 getImage times:0
17:07:23 573	3  GrabFrame times:0,result=
17:07:23 577	 5 ImageProcess result=
17:07:23 580	7 finish getImage
17:07:23 582	 1:start getImage
17:07:23 583	 2 getImage times:0
17:07:23 587	3  GrabFrame times:0,result=
17:07:23 592	 5 ImageProcess result=
17:07:23 595	7 finish getImage
17:07:23 772	 1:start getImage
17:07:23 773	 2 getImage times:0
17:07:23 774	3  GrabFrame times:0,result=
17:07:23 778	 5 ImageProcess result=
17:07:23 781	7 finish getImage
17:07:23 783	 1:start getImage
17:07:23 784	 2 getImage times:0
17:07:23 787	3  GrabFrame times:0,result=
17:07:23 792	 5 ImageProcess result=
17:07:23 795	7 finish getImage
17:07:23 972	 1:start getImage
17:07:23 973	 2 getImage times:0
17:07:23 974	3  GrabFrame times:0,result=
17:07:23 978	 5 ImageProcess result=
17:07:23 981	7 finish getImage
17:07:23 983	 1:start getImage
17:07:23 984	 2 getImage times:0
17:07:23 987	3  GrabFrame times:0,result=
17:07:23 992	 5 ImageProcess result=
17:07:23 995	7 finish getImage
17:07:24 170	 1:start getImage
17:07:24 171	 2 getImage times:0
17:07:24 172	3  GrabFrame times:0,result=
17:07:24 176	 5 ImageProcess result=
17:07:24 179	7 finish getImage
17:07:24 181	 1:start getImage
17:07:24 182	 2 getImage times:0
17:07:24 187	3  GrabFrame times:0,result=
17:07:24 191	 5 ImageProcess result=
17:07:24 194	7 finish getImage
17:07:24 371	 1:start getImage
17:07:24 372	 2 getImage times:0
17:07:24 373	3  GrabFrame times:0,result=
17:07:24 378	 5 ImageProcess result=
17:07:24 380	7 finish getImage
17:07:24 382	 1:start getImage
17:07:24 383	 2 getImage times:0
17:07:24 387	3  GrabFrame times:0,result=
17:07:24 391	 5 ImageProcess result=
17:07:24 394	7 finish getImage
17:07:24 570	 1:start getImage
17:07:24 571	 2 getImage times:0
17:07:24 572	3  GrabFrame times:0,result=
17:07:24 576	 5 ImageProcess result=
17:07:24 579	7 finish getImage
17:07:24 581	 1:start getImage
17:07:24 582	 2 getImage times:0
17:07:24 587	3  GrabFrame times:0,result=
17:07:24 591	 5 ImageProcess result=
17:07:24 594	7 finish getImage
17:07:24 770	 1:start getImage
17:07:24 771	 2 getImage times:0
17:07:24 772	3  GrabFrame times:0,result=
17:07:24 777	 5 ImageProcess result=
17:07:24 780	7 finish getImage
17:07:24 781	 1:start getImage
17:07:24 782	 2 getImage times:0
17:07:24 787	3  GrabFrame times:0,result=
17:07:24 791	 5 ImageProcess result=
17:07:24 794	7 finish getImage
17:07:24 972	 1:start getImage
17:07:24 973	 2 getImage times:0
17:07:24 974	3  GrabFrame times:0,result=
17:07:24 979	 5 ImageProcess result=
