00:00:58 235	 5 ImageProcess result=
00:00:58 243	7 finish getImage
00:00:58 675	 1:start getImage
00:00:58 679	 2 getImage times:0
00:00:58 683	3  GrabFrame times:0,result=
00:00:58 691	 5 ImageProcess result=
00:00:58 699	7 finish getImage
00:00:58 705	 1:start getImage
00:00:58 709	 2 getImage times:0
00:00:58 713	3  GrabFrame times:0,result=
00:00:58 721	 5 ImageProcess result=
00:00:58 727	7 finish getImage
00:00:59 171	 1:start getImage
00:00:59 175	 2 getImage times:0
00:00:59 179	3  GrabFrame times:0,result=
00:00:59 187	 5 ImageProcess result=
00:00:59 195	7 finish getImage
00:00:59 199	 1:start getImage
00:00:59 203	 2 getImage times:0
00:00:59 207	3  GrabFrame times:0,result=
00:00:59 217	 5 ImageProcess result=
00:00:59 225	7 finish getImage
00:00:59 657	 1:start getImage
00:00:59 661	 2 getImage times:0
00:00:59 665	3  GrabFrame times:0,result=
00:00:59 673	 5 ImageProcess result=
00:00:59 679	7 finish getImage
00:00:59 685	 1:start getImage
00:00:59 689	 2 getImage times:0
00:00:59 693	3  GrabFrame times:0,result=
00:00:59 707	 5 ImageProcess result=
00:00:59 713	7 finish getImage
00:01:00 140	 1:start getImage
00:01:00 144	 2 getImage times:0
00:01:00 148	3  GrabFrame times:0,result=
00:01:00 160	 5 ImageProcess result=
00:01:00 168	7 finish getImage
00:01:00 176	 1:start getImage
00:01:00 184	 2 getImage times:0
00:01:00 190	3  GrabFrame times:0,result=
00:01:00 198	 5 ImageProcess result=
00:01:00 206	7 finish getImage
00:01:00 634	 1:start getImage
00:01:00 638	 2 getImage times:0
00:01:00 642	3  GrabFrame times:0,result=
00:01:00 650	 5 ImageProcess result=
00:01:00 660	7 finish getImage
00:01:00 668	 1:start getImage
00:01:00 672	 2 getImage times:0
00:01:00 676	3  GrabFrame times:0,result=
00:01:00 684	 5 ImageProcess result=
00:01:00 690	7 finish getImage
00:01:01 124	 1:start getImage
00:01:01 128	 2 getImage times:0
00:01:01 132	3  GrabFrame times:0,result=
00:01:01 146	 5 ImageProcess result=
00:01:01 152	7 finish getImage
00:01:01 158	 1:start getImage
00:01:01 162	 2 getImage times:0
00:01:01 166	3  GrabFrame times:0,result=
00:01:01 176	 5 ImageProcess result=
00:01:01 182	7 finish getImage
00:01:02 487	 1:start getImage
00:01:02 491	 2 getImage times:0
00:01:02 497	3  GrabFrame times:0,result=
00:01:02 505	 5 ImageProcess result=
00:01:02 513	7 finish getImage
00:01:02 519	 1:start getImage
00:01:02 523	 2 getImage times:0
00:01:02 527	3  GrabFrame times:0,result=
00:01:02 537	 5 ImageProcess result=
00:01:02 545	7 finish getImage
00:01:02 723	 1:start getImage
00:01:02 727	 2 getImage times:0
00:01:02 733	3  GrabFrame times:0,result=
00:01:02 741	 5 ImageProcess result=
00:01:02 747	7 finish getImage
00:01:02 753	 1:start getImage
00:01:02 757	 2 getImage times:0
00:01:02 761	3  GrabFrame times:0,result=
00:01:02 769	 5 ImageProcess result=
00:01:02 777	7 finish getImage
00:01:02 953	 1:start getImage
00:01:02 957	 2 getImage times:0
00:01:02 961	3  GrabFrame times:0,result=
00:01:02 969	 5 ImageProcess result=
00:01:02 977	7 finish getImage
00:01:02 981	 1:start getImage
00:01:02 987	 2 getImage times:0
00:01:02 995	3  GrabFrame times:0,result=
00:01:03 003	 5 ImageProcess result=
00:01:03 011	7 finish getImage
00:01:03 183	 1:start getImage
00:01:03 187	 2 getImage times:0
00:01:03 193	3  GrabFrame times:0,result=
00:01:03 203	 5 ImageProcess result=
00:01:03 209	7 finish getImage
00:01:03 215	 1:start getImage
00:01:03 219	 2 getImage times:0
00:01:03 227	3  GrabFrame times:0,result=
00:01:03 235	 5 ImageProcess result=
00:01:03 243	7 finish getImage
00:01:03 419	 1:start getImage
00:01:03 423	 2 getImage times:0
00:01:03 427	3  GrabFrame times:0,result=
00:01:03 435	 5 ImageProcess result=
00:01:03 443	7 finish getImage
00:01:03 449	 1:start getImage
00:01:03 453	 2 getImage times:0
00:01:03 457	3  GrabFrame times:0,result=
00:01:03 463	 5 ImageProcess result=
00:01:03 473	7 finish getImage
00:01:03 652	 1:start getImage
00:01:03 656	 2 getImage times:0
00:01:03 660	3  GrabFrame times:0,result=
00:01:03 670	 5 ImageProcess result=
00:01:03 680	7 finish getImage
00:01:03 686	 1:start getImage
00:01:03 690	 2 getImage times:0
00:01:03 696	3  GrabFrame times:0,result=
00:01:03 704	 5 ImageProcess result=
00:01:03 712	7 finish getImage
00:01:04 684	 1:start getImage
00:01:04 688	 2 getImage times:0
00:01:04 692	3  GrabFrame times:0,result=
00:01:04 702	 5 ImageProcess result=
00:01:04 712	7 finish getImage
00:01:04 718	 1:start getImage
00:01:04 722	 2 getImage times:0
00:01:04 728	3  GrabFrame times:0,result=
00:01:04 736	 5 ImageProcess result=
00:01:04 744	7 finish getImage
00:01:04 926	 1:start getImage
