00:02:57 596	 1:start getImage
00:02:57 596	 2 getImage times:0
00:02:57 612	3  GrabFrame times:0,result=
00:02:57 617	 5 ImageProcess result=
00:02:57 621	7 finish getImage
00:02:58 099	 1:start getImage
00:02:58 099	 2 getImage times:0
00:02:58 100	3  GrabFrame times:0,result=
00:02:58 105	 5 ImageProcess result=
00:02:58 108	7 finish getImage
00:02:58 110	 1:start getImage
00:02:58 110	 2 getImage times:0
00:02:58 132	3  GrabFrame times:0,result=
00:02:58 138	 5 ImageProcess result=
00:02:58 141	7 finish getImage
00:02:58 622	 1:start getImage
00:02:58 622	 2 getImage times:0
00:02:58 623	3  GrabFrame times:0,result=
00:02:58 628	 5 ImageProcess result=
00:02:58 631	7 finish getImage
00:02:58 633	 1:start getImage
00:02:58 633	 2 getImage times:0
00:02:58 651	3  GrabFrame times:0,result=
00:02:58 657	 5 ImageProcess result=
00:02:58 661	7 finish getImage
00:02:59 139	 1:start getImage
00:02:59 139	 2 getImage times:0
00:02:59 140	3  GrabFrame times:0,result=
00:02:59 145	 5 ImageProcess result=
00:02:59 148	7 finish getImage
00:02:59 150	 1:start getImage
00:02:59 150	 2 getImage times:0
00:02:59 172	3  GrabFrame times:0,result=
00:02:59 177	 5 ImageProcess result=
00:02:59 180	7 finish getImage
00:02:59 667	 1:start getImage
00:02:59 667	 2 getImage times:0
00:02:59 668	3  GrabFrame times:0,result=
00:02:59 674	 5 ImageProcess result=
00:02:59 677	7 finish getImage
00:02:59 678	 1:start getImage
00:02:59 679	 2 getImage times:0
00:02:59 692	3  GrabFrame times:0,result=
00:02:59 697	 5 ImageProcess result=
00:02:59 700	7 finish getImage
00:03:00 182	 1:start getImage
00:03:00 182	 2 getImage times:0
00:03:00 183	3  GrabFrame times:0,result=
00:03:00 189	 5 ImageProcess result=
00:03:00 192	7 finish getImage
00:03:00 193	 1:start getImage
00:03:00 193	 2 getImage times:0
00:03:00 212	3  GrabFrame times:0,result=
00:03:00 217	 5 ImageProcess result=
00:03:00 220	7 finish getImage
00:03:00 701	 1:start getImage
00:03:00 701	 2 getImage times:0
00:03:00 702	3  GrabFrame times:0,result=
00:03:00 708	 5 ImageProcess result=
00:03:00 711	7 finish getImage
00:03:00 712	 1:start getImage
00:03:00 713	 2 getImage times:0
00:03:00 731	3  GrabFrame times:0,result=
00:03:00 736	 5 ImageProcess result=
00:03:00 740	7 finish getImage
00:03:01 219	 1:start getImage
00:03:01 219	 2 getImage times:0
00:03:01 220	3  GrabFrame times:0,result=
00:03:01 226	 5 ImageProcess result=
00:03:01 229	7 finish getImage
00:03:01 230	 1:start getImage
00:03:01 230	 2 getImage times:0
